gold,gems,name,tier
288,0,gilded_shore_risotto,legendary
208,0,gilded_shore_risotto,epic
160,0,gilded_shore_risotto,rare
216,0,farmstead_feast_roast,legendary
156,0,farmstead_feast_roast,epic
120,0,farmstead_feast_roast,rare
130,0,woodland_mushroom_risotto,legendary
94,0,woodland_mushroom_risotto,epic
72,0,woodland_mushroom_risotto,rare
317,0,braised_venison_stew,legendary
229,0,braised_venison_stew,epic
176,0,braised_venison_stew,rare
194,0,hearty_custard_pie,legendary
140,0,hearty_custard_pie,epic
108,0,hearty_custard_pie,rare
238,0,paleleaf_meat_roll,legendary
172,0,paleleaf_meat_roll,epic
132,0,paleleaf_meat_roll,rare
216,0,saltbaked_shrimp,legendary
156,0,saltbaked_shrimp,epic
120,0,saltbaked_shrimp,rare
288,0,dome_figue_miel,legendary
208,0,dome_figue_miel,epic
160,0,dome_figue_miel,rare
144,0,hearthroast_chicken,legendary
104,0,hearthroast_chicken,epic
80,0,hearthroast_chicken,rare
288,0,holiday_gingerbread,legendary
208,0,holiday_gingerbread,epic
108,0,holiday_gingerbread,rare
317,0,mooncake_1,legendary
229,0,mooncake_1,epic
176,0,mooncake_1,rare
288,0,mooncake_2,legendary
208,0,mooncake_2,epic
160,0,mooncake_2,rare
317,0,simple_seared_scallops,legendary
229,0,simple_seared_scallops,epic
176,0,simple_seared_scallops,rare
317,0,snow_skin_mooncake_1,legendary
229,0,snow_skin_mooncake_1,epic
176,0,snow_skin_mooncake_1,rare
288,0,snow_skin_mooncake_2,legendary
208,0,snow_skin_mooncake_2,epic
160,0,snow_skin_mooncake_2,rare
475,0,wild_herb_tomahawk,legendary
343,0,wild_herb_tomahawk,epic
264,0,wild_herb_tomahawk,rare
317,0,honey_glazed_wings,legendary
229,0,honey_glazed_wings,epic
176,0,honey_glazed_wings,rare
288,0,velvet_tiramisu,legendary
208,0,velvet_tiramisu,epic
160,0,velvet_tiramisu,rare
317,0,midsummer_lamb_roast,legendary
229,0,midsummer_lamb_roast,epic
176,0,midsummer_lamb_roast,rare
396,0,cocoa_berry_bliss,legendary
286,0,cocoa_berry_bliss,epic
220,0,cocoa_berry_bliss,rare
468,0,deepwater_ink_pasta,legendary
338,0,deepwater_ink_pasta,epic
260,0,deepwater_ink_pasta,rare
346,0,golden_cream_pasta,legendary
250,0,golden_cream_pasta,epic
192,0,golden_cream_pasta,rare
396,0,wildbloom_salad,legendary
286,0,wildbloom_salad,epic
220,0,wildbloom_salad,rare
562,0,charred_mystery_steak,legendary
406,0,charred_mystery_steak,epic
312,0,charred_mystery_steak,rare
562,0,cinnamon_seared_foie_gras,legendary
406,0,cinnamon_seared_foie_gras,epic
312,0,cinnamon_seared_foie_gras,rare
0,10,feast_of_courage_and_chivalry,legendary
0,6,feast_of_courage_and_chivalry,epic
0,3,feast_of_courage_and_chivalry,rare
0,10,feast_of_cunning_and_ambition,legendary
0,6,feast_of_cunning_and_ambition,epic
0,3,feast_of_cunning_and_ambition,rare
0,10,feast_of_loyalty_and_dedication,legendary
0,6,feast_of_loyalty_and_dedication,epic
0,3,feast_of_loyalty_and_dedication,rare
0,10,feast_of_wisdom_and_wit,legendary
0,6,feast_of_wisdom_and_wit,epic
0,3,feast_of_wisdom_and_wit,rare
0,10,the_founders_feast,legendary
0,6,the_founders_feast,epic
0,3,the_founders_feast,rare
