gold,gems,name,tier
12,0,fanged_geranium,radiant
9,0,fanged_geranium,flourishing
8,0,fanged_geranium,hardy
1,0,fanged_geranium,feeble
6,0,gillyweed,radiant
4,0,gillyweed,flourishing
3,0,gillyweed,hardy
1,0,gillyweed,feeble
47,0,rose,radiant_rarecolor
42,0,rose,radiant
38,0,rose,flourishing_rarecolor
34,0,rose,flourishing
33,0,rose,hardy_rarecolor
30,0,rose,hardy
1,0,rose,feeble
25,0,vining_marjoram,radiant
23,0,vining_marjoram,flourishing
18,0,vining_marjoram,hardy
1,0,vining_marjoram,feeble
85,0,puffapod,radiant
62,0,puffapod,flourishing
55,0,puffapod,hardy
1,0,puffapod,feeble
94,0,wild_pansy,radiant_rarecolor
85,0,wild_pansy,radiant
69,0,wild_pansy,flourishing_rarecolor
62,0,wild_pansy,flourishing
61,0,wild_pansy,hardy_rarecolor
55,0,wild_pansy,hardy
1,0,wild_pansy,feeble
0,6,nifflers_fancy,radiant
0,3,nifflers_fancy,flourishing
0,1,nifflers_fancy,hardy
1,0,nifflers_fancy,feeble
34,0,charred_cinnamon_tree,radiant
1,0,charred_cinnamon_tree,feeble
118,0,fanwort,radiant_rarecolor
107,0,fanwort,radiant
96,0,fanwort,flourishing_rarecolor
87,0,fanwort,flourishing
76,0,fanwort,hardy_rarecolor
69,0,fanwort,hardy
1,0,fanwort,feeble
116,0,ladys_mantle,radiant_rarecolor
105,0,ladys_mantle,radiant
106,0,ladys_mantle,flourishing_rarecolor
96,0,ladys_mantle,flourishing
84,0,ladys_mantle,hardy_rarecolor
76,0,ladys_mantle,hardy
1,0,ladys_mantle,feeble
34,0,paleleaf_laurel,radiant
31,0,paleleaf_laurel,flourishing
24,0,paleleaf_laurel,hardy
1,0,paleleaf_laurel,feeble
53,0,kelp,radiant_rarecolor
48,0,kelp,radiant
49,0,kelp,flourishing_rarecolor
44,0,kelp,flourishing
33,0,kelp,hardy_rarecolor
30,0,kelp,hardy
1,0,kelp,feeble
24,0,mandrake,radiant
22,0,mandrake,flourishing
15,0,mandrake,hardy
1,0,mandrake,feeble
57,0,chinese_chomping_cabbage,radiant
40,0,chinese_chomping_cabbage,flourishing
36,0,chinese_chomping_cabbage,hardy
1,0,chinese_chomping_cabbage,feeble
0,4,dragons_breath_macroalgae,radiant_rarecolor
0,3,dragons_breath_macroalgae,radiant
0,3,dragons_breath_macroalgae,flourishing_rarecolor
0,2,dragons_breath_macroalgae,flourishing
0,2,dragons_breath_macroalgae,hardy_rarecolor
0,1,dragons_breath_macroalgae,hardy
1,0,dragons_breath_macroalgae,feeble
0,3,peony,radiant_rarecolor
0,2,peony,radiant
64,0,peony,flourishing_rarecolor
58,0,peony,flourishing
50,0,peony,hardy_rarecolor
45,0,peony,hardy
1,0,peony,feeble
80,0,begonia,radiant_rarecolor
72,0,begonia,radiant
64,0,begonia,flourishing_rarecolor
58,0,begonia,flourishing
50,0,begonia,hardy_rarecolor
45,0,begonia,hardy
1,0,begonia,feeble
205,0,mayflower,radiant_rarecolor
186,0,mayflower,radiant
165,0,mayflower,flourishing_rarecolor
150,0,mayflower,flourishing
129,0,mayflower,hardy_rarecolor
117,0,mayflower,hardy
1,0,mayflower,feeble
237,0,hydrangea,radiant_rarecolor
215,0,hydrangea,radiant
165,0,hydrangea,flourishing_rarecolor
150,0,hydrangea,flourishing
149,0,hydrangea,hardy_rarecolor
135,0,hydrangea,hardy
1,0,hydrangea,feeble
132,0,ludwigia_glandulosa,radiant_rarecolor
120,0,ludwigia_glandulosa,radiant
108,0,ludwigia_glandulosa,flourishing_rarecolor
98,0,ludwigia_glandulosa,flourishing
86,0,ludwigia_glandulosa,hardy_rarecolor
78,0,ludwigia_glandulosa,hardy
1,0,ludwigia_glandulosa,feeble
0,3,daffodil,radiant_rarecolor
0,2,daffodil,radiant
55,0,daffodil,flourishing_rarecolor
50,0,daffodil,flourishing
50,0,daffodil,hardy_rarecolor
45,0,daffodil,hardy
1,0,daffodil,feeble
72,0,water_hyacinth,radiant_rarecolor
65,0,water_hyacinth,radiant
58,0,water_hyacinth,flourishing_rarecolor
52,0,water_hyacinth,flourishing
46,0,water_hyacinth,hardy_rarecolor
41,0,water_hyacinth,hardy
1,0,water_hyacinth,feeble
56,0,wildbloom_thyme,radiant
1,0,wildbloom_thyme,feeble
63,0,lily_of_the_valley,radiant_rarecolor
57,0,lily_of_the_valley,radiant
51,0,lily_of_the_valley,flourishing_rarecolor
46,0,lily_of_the_valley,flourishing
47,0,lily_of_the_valley,hardy_rarecolor
42,0,lily_of_the_valley,hardy
1,0,lily_of_the_valley,feeble
88,0,mosaic_flower,radiant_rarecolor
80,0,mosaic_flower,radiant
72,0,mosaic_flower,flourishing_rarecolor
65,0,mosaic_flower,flourishing
58,0,mosaic_flower,hardy_rarecolor
52,0,mosaic_flower,hardy
1,0,mosaic_flower,feeble
0,5,sunflower,radiant_rarecolor
0,4,sunflower,radiant
106,0,sunflower,flourishing_rarecolor
96,0,sunflower,flourishing
83,0,sunflower,hardy_rarecolor
75,0,sunflower,hardy
1,0,sunflower,feeble
62,0,mimbulus_mimbletonia,radiant
50,0,mimbulus_mimbletonia,flourishing
39,0,mimbulus_mimbletonia,hardy
1,0,mimbulus_mimbletonia,feeble
299,0,water_lily,radiant_rarecolor
271,0,water_lily,radiant
244,0,water_lily,flourishing_rarecolor
221,0,water_lily,flourishing
219,0,water_lily,hardy_rarecolor
199,0,water_lily,hardy
1,0,water_lily,feeble
